新闻频道,#genre#
公视戏剧台,https://klxtx.koyeb.app/litv/4gtv-4gtv042
采昌影剧台,https://klxtx.koyeb.app/litv/4gtv-4gtv049
台湾戏剧台,https://klxtx.koyeb.app/litv/litv-longturn22
戏剧免费看 1台,https://klxtx.koyeb.app/4gtv/270
戏剧免费看 2台,https://klxtx.koyeb.app/4gtv/244
经典电影台,https://klxtx.koyeb.app/4gtv/201
电影免费看 2台,https://klxtx.koyeb.app/4gtv/245
电影原声台 CMusic,https://klxtx.koyeb.app/4gtv/218
花系列 经典剧场,https://klxtx.koyeb.app/4gtv/279
CinemaWorld,https://klxtx.koyeb.app/4gtv/225
HITS 频道,https://klxtx.koyeb.app/4gtv/186
Rock Action,https://klxtx.koyeb.app/4gtv/180
Rock Entertainment,https://klxtx.koyeb.app/4gtv/275
金光布袋戏,https://klxtx.koyeb.app/4gtv/236
霹雳布袋戏,https://klxtx.koyeb.app/4gtv/301
TVBS,https://klxtx.koyeb.app/litv/4gtv-4gtv073
History 历史频道,https://klxtx.koyeb.app/4gtv/214
CI 罪案侦查频道,https://klxtx.koyeb.app/4gtv/215
Smart 知识台,https://klxtx.koyeb.app/litv/litv-longturn19
AMC 电影台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv017
CatchPlay 电影台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv076
My Cinema Europe HD 我的欧洲电影,https://kaytse4gtv.koyeb.app/4gtv/176
公视戏剧台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv042
采昌影剧台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv049
台湾戏剧台,https://kaytse4gtv.koyeb.app/litv/litv-longturn22
戏剧免费看 1台,https://kaytse4gtv.koyeb.app/4gtv/270
戏剧免费看 2台,https://kaytse4gtv.koyeb.app/4gtv/244
龙华电影台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/litv-longturn03
影迷数位纪实台,http://45.145.229.220:8080/http:/127.0.0.1:5000/4gtv/212
影迷数位电影台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv011
影迷数位电影台,http://A/ku9/js/litvk9.js?id=4gtv-4gtv011
影迷数位电影台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv011
GLOBETROTTER,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv016
amc电影台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv017
靖天电影台,http://free.xiptv.x10.bz/4gtv.php?id=4gtv-4gtv061
龙华电影,http://free.xiptv.x10.bz/4gtv.php?id=litv-longturn03
CATCHPLAY电影台,http://A/ku9/js/litvk9.js?id=4gtv-4gtv076
龙华电影,http://A/ku9/js/litvk9.js?id=litv-longturn03
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
AMC 最爱电影,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv017
CatchPlay 电影台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv076
My Cinema Europe HD 我的欧洲电影,http://45.145.229.220:8080/http:/127.0.0.1:5000/4gtv/176
CinemaWorld,http://45.145.229.220:8080/http:/127.0.0.1:5000/4gtv/225
AMC 电影台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv017
My Cinema Europe HD 我的欧洲电影,https://4gtv.livednow.us.kg/4gtv/176\
电影免费看 2台,https://4gtv.livednow.us.kg/4gtv/245
影迷数位纪实台,https://4gtv.livednow.us.kg/4gtv/212
影迷数位电影台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv011
龙华经典台,https://4gtv.livednow.us.kg/litv/litv-longturn21
龙华电影台,https://4gtv.livednow.us.kg/litv/litv-longturn03
靖天电影台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv061
龙华偶像台,https://kaytse4gtv.koyeb.app/litv/litv-longturn12
龙华戏剧台,https://kaytse4gtv.koyeb.app/litv/litv-longturn18
龙华经典台,https://kaytse4gtv.koyeb.app/litv/litv-longturn21
龙华电影台,https://kaytse4gtv.koyeb.app/litv/litv-longturn03
靖洋戏剧台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv045
TVBS 台剧台,https://kaytse4gtv.koyeb.app/4gtv/285
影迷数位纪实台,https://kaytse4gtv.koyeb.app/4gtv/212
影迷数位电影台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv011
经典电影台,https://kaytse4gtv.koyeb.app/4gtv/201
电影免费看 2台,https://kaytse4gtv.koyeb.app/4gtv/245
电影原声台 CMusic,https://kaytse4gtv.koyeb.app/4gtv/218
amc电影台,http://tw.ts138.top/4g/?id=4gtv-4gtv017#https://litv.zapi.us.kg/?id=4gtv-4gtv017#http://61.221.215.25:8800/hls/43/index.m3u8
CATCHPLAY电影台,http://tw.ts138.top/4g/?id=4gtv-4gtv076#,https://litv.zapi.us.kg/?id=4gtv-4gtv076
龙华电影台,https://litv.zapi.us.kg/?id=litv-longturn03
靖天电影台,http://tw.ts138.top/4g/?id=4gtv-4gtv061#https://litv.zapi.us.kg/?id=4gtv-4gtv061
影迷数位电影台,http://tw.ts138.top/4g/?id=4gtv-4gtv011#https://litv.zapi.us.kg/?id=4gtv-4gtv011
龙华电影,http://tw.ts138.top/4g/?id=litv-longturn03
HBO 1,https://tv.iill.top/beesport/HBO_Live_TV
HBO 2,https://tv.iill.top/beesport/HBO_2_Live_TV
Cinemax West,https://tv.iill.top/beesport/Cinemax_West_Live_TV
Great Movies,https://tv.iill.top/beesport/UK_Great_Movies_Live_TV
Sky Cinema Comedy,https://tv.iill.top/beesport/UK_Sky_Cinema_Comedy_Live_TV
Sky Cinema Family,https://tv.iill.top/beesport/UK_Sky_Cinema_Family_Live_TV
龙华电影台,https://tv.iill.top/litv/litv-longturn03
AMC 最爱电影,https://tv.iill.top/litv/4gtv-4gtv017
CI 罪案侦查频道,https://tv.iill.top/4gtv/215
CatchPlay 电影台,https://tv.iill.top/litv/4gtv-4gtv076
CinemaWorld,https://tv.iill.top/4gtv/225
影迷数位纪实台,https://tv.iill.top/4gtv/212
影迷数位电影台,https://tv.iill.top/litv/4gtv-4gtv011
戏剧免费看 1台,https://tv.iill.top/4gtv/270
戏剧免费看 2台,https://tv.iill.top/4gtv/244
电影免费看 2台,https://tv.iill.top/4gtv/245
经典电影台,https://tv.iill.top/4gtv/201
视纳华仁纪实频道,https://tv.iill.top/litv/4gtv-4gtv013
采昌影剧台,https://tv.iill.top/litv/4gtv-4gtv049
电影原声台 CMusic,https://tv.iill.top/4gtv/218
视纳华仁纪实频道,https://klxtx.koyeb.app/litv/4gtv-4gtv013
amc电影台,http://A/ku9/js/litvk9.js?id=4gtv-4gtv017
龙华日韩台,https://4gtv.livednow.us.kg/litv/litv-longturn11
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
GTV八大戏剧台HD,http://61.221.215.25:8800/hls/39/index.m3u8 
GTV八大第1台HD,http://61.221.215.25:8800/hls/55/index.m3u8 
GTV八大综合台HD,http://61.221.215.25:8800/hls/56/index.m3u8 
纬来精采台,http://61.221.215.25:8800/hls/48/index.m3u8
龙华日韩台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/litv-longturn11
TVBS 综艺台,http://45.145.229.220:8080/http:/127.0.0.1:5000/4gtv/284
TVBS 欢乐台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv068
TVBS 精采台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv067
八大精彩台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv034
八大综艺台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv039
龙华日韩,http://tw.ts138.top/4g/?id=litv-longturn11
ELTA 娱乐台,http://45.145.229.220:8080/http:/127.0.0.1:5000/litv/4gtv-4gtv070
民视影剧,http://free.xiptv.x10.bz/4gtv.php?id=litv-ftv09
龙华日韩,http://free.xiptv.x10.bz/4gtv.php?id=litv-longturn11
八大精彩台,http://A/ku9/js/litvk9.js?id=4gtv-4gtv034
TVBS 精采台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv067
TVBS 综艺台,https://4gtv.livednow.us.kg/4gtv/284
TVBS 欢乐台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv068
TVBS 综艺台,https://4gtv.livednow.us.kg/4gtv/284
TVBS 欢乐台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv068
TVBS 精采台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv067
八大精彩台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv034
八大综艺台,https://4gtv.livednow.us.kg/litv/4gtv-4gtv039
TVBS 欢乐台,https://tv.iill.top/litv/4gtv-4gtv068
TVBS 精采台,https://tv.iill.top/litv/4gtv-4gtv067
TVBS 综艺台,https://tv.iill.top/4gtv/284
靖天欢乐台,https://tv.iill.top/litv/4gtv-4gtv054
靖天综合台,https://tv.iill.top/litv/4gtv-4gtv046
靖天育乐台,https://tv.iill.top/litv/4gtv-4gtv062
八大精彩台,https://tv.iill.top/litv/4gtv-4gtv034
民视综艺台,https://tv.iill.top/litv/4gtv-4gtv004
民视综艺台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv004
靖天育乐台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv062
靖天欢乐台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv054
龙华日韩台,https://kaytse4gtv.koyeb.app/litv/litv-longturn11
TVBS 综艺台,https://kaytse4gtv.koyeb.app/4gtv/284
TVBS 欢乐台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv068
TVBS 精采台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv067
八大精彩台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv034
八大综艺台,https://kaytse4gtv.koyeb.app/litv/4gtv-4gtv039
